country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,15-02-2020,3,2,29,9,1,-1
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,16-02-2020,-7,-3,-30,-3,-3,1
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,17-02-2020,1,2,8,4,4,0
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,18-02-2020,3,3,18,6,4,0
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,19-02-2020,3,1,13,5,4,0
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,20-02-2020,-2,-1,4,3,3,0
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,21-02-2020,0,3,15,7,2,0
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,22-02-2020,-4,0,0,2,-2,0
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,23-02-2020,-7,-7,-27,-2,-4,0
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,24-02-2020,7,0,7,-11,-24,4
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,25-02-2020,10,2,29,-8,-23,4
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,26-02-2020,-1,-5,-4,-11,-21,3
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,27-02-2020,-2,-2,-15,-15,-23,6
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,28-02-2020,-1,3,3,-10,-23,5
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,29-02-2020,-4,2,-7,-2,-5,1
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,01-03-2020,0,6,-2,5,-1,0
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,02-03-2020,-4,7,-12,0,3,0
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,03-03-2020,2,6,11,1,4,0
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,04-03-2020,1,4,7,1,4,0
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,05-03-2020,-4,1,-16,-2,2,2
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,06-03-2020,-1,5,2,3,2,1
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,07-03-2020,5,3,33,8,2,0
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,08-03-2020,-1,1,-21,-2,-1,0
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,09-03-2020,-1,4,6,-1,2,0
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,10-03-2020,-4,4,-5,-4,1,2
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,11-03-2020,-4,4,-3,-4,1,2
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,12-03-2020,-7,23,4,-7,-1,3
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,13-03-2020,-8,40,-5,-16,-7,5
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,14-03-2020,-70,-8,0,-34,-27,12
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,15-03-2020,-66,-18,20,-34,-29,8
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,16-03-2020,-32,16,7,-43,-36,14
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,17-03-2020,-36,30,31,-46,-45,16
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,18-03-2020,-61,-12,7,-56,-52,20
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,19-03-2020,-75,-23,-19,-67,-61,27
