Date of announcement,,Games-concerned personnel,Media,Tokyo 2020 employee,Tokyo 2020 Contractor,Volunteer,Total
01-07-2021,,0,0,0,0,0,0
02-07-2021,,0,0,1,1,0,2
03-07-2021,,0,0,0,0,0,0
04-07-2021,,0,0,0,0,0,0
05-07-2021,,0,1,1,5,0,7
06-07-2021,,0,0,0,3,0,3
07-07-2021,,1,0,1,0,0,2
08-07-2021,,0,0,0,2,0,2
09-07-2021,,1,0,0,0,0,1
10-07-2021,,1,0,0,0,0,1
11-07-2021,,0,0,0,0,0,0
12-07-2021,,0,0,0,0,0,0
13-07-2021,,0,0,0,0,0,0
14-07-2021,,0,0,0,2,0,2
15-07-2021,,1,0,0,4,0,6
16-07-2021,,1,0,0,3,0,4
17-07-2021,,6,2,0,7,0,15
18-07-2021,,5,1,0,1,0,10
19-07-2021,,1,1,0,1,0,3
20-07-2021,,1,0,0,6,1,9
21-07-2021,,2,0,0,6,0,9
22-07-2021,,4,0,0,6,0,12
23-07-2021,,10,3,0,3,0,19
24-07-2021,,2,0,0,14,0,16
25-07-2021,,6,1,0,1,0,10
26-07-2021,,7,0,0,4,0,13
27-07-2021,,3,0,1,1,0,6
28-07-2021,,4,2,0,10,1,17
29-07-2021,,6,0,0,15,0,24
30-07-2021,,4,1,0,15,4,27
31-07-2021,,7,0,0,14,0,21
01-08-2021,,5,0,0,11,1,17
02-08-2021,,6,1,0,9,1,17
03-08-2021,,5,1,0,10,1,18
04-08-2021,,2,0,0,19,4,29
05-08-2021,,7,3,2,16,2,31
06-08-2021,,6,1,1,19,2,29
07-08-2021,,4,2,2,13,1,22
08-08-2021,,1,5,1,16,3,26
09-08-2021,,6,1,2,13,6,28
10-08-2021,,14,4,0,8,0,26
11-08-2021,,7,1,2,14,1,25
12-08-2021,,5,1,1,15,0,22
13-08-2021,,1,0,0,6,0,7
14-08-2021,,0,0,0,0,0,0
15-08-2021,,2,0,0,0,0,2
16-08-2021,,0,0,0,0,0,0
17-08-2021,,0,0,0,0,0,0
18-08-2021,,1,0,0,2,1,4
19-08-2021,,1,0,0,1,0,2
20-08-2021,,0,0,0,0,0,0
